rat,group,treatment,bone density,lowjump,highjump
1,Control,1,611,0,0
2,Control,1,621,0,0
3,Control,1,614,0,0
4,Control,1,593,0,0
5,Control,1,593,0,0
6,Control,1,653,0,0
7,Control,1,600,0,0
8,Control,1,554,0,0
9,Control,1,603,0,0
10,Control,1,569,0,0
11,Lowjump,2,635,1,0
12,Lowjump,2,605,1,0
13,Lowjump,2,638,1,0
14,Lowjump,2,594,1,0
15,Lowjump,2,599,1,0
16,Lowjump,2,632,1,0
17,Lowjump,2,631,1,0
18,Lowjump,2,588,1,0
19,Lowjump,2,607,1,0
20,Lowjump,2,596,1,0
21,Highjump,3,650,0,1
22,Highjump,3,622,0,1
23,Highjump,3,626,0,1
24,Highjump,3,626,0,1
25,Highjump,3,631,0,1
26,Highjump,3,622,0,1
27,Highjump,3,643,0,1
28,Highjump,3,674,0,1
29,Highjump,3,643,0,1
30,Highjump,3,650,0,1
