Country,Age-standardized mortality rate by cause (per 100 000 population)
Bahamas,220.0
Bahrain,187.2
Bangladesh,166.2
Barbados,128.1
Belarus,464.2
Belgium,111.1
Belize,190.7
Benin,372.5
Bhutan,194.3
Bolivia (Plurinational State of),269.5
Bosnia and Herzegovina,310.7
Botswana,323.7
Brazil,214.2
Brunei Darussalam,211.1
Bulgaria,406.3
Burkina Faso,373.7
Burundi,311.6
Cote d'Ivoire,336.1
Cabo Verde,249.9
Cambodia,184.7
Cameroon,285.7
Canada,88.6
Central African Republic,244.4
Chad,306.6
Chile,115.1
China,300.0
Colombia,150.2
Comoros,329.6
Congo,334.5
Costa Rica,140.1
Croatia,237.4
Cuba,185.0
Cyprus,137.9
Czech Republic,239.0
Democratic People's Republic of Korea,351.6
Democratic Republic of the Congo,359.6
Denmark,108.3
Djibouti,277.1
Dominican Republic,198.9
Ecuador,149.3
Egypt,445.1
El Salvador,171.0
Equatorial Guinea,357.6
Eritrea,327.3
Estonia,272.1
Ethiopia,161.6
Fiji,372.3
Finland,145.9
France,85.6
Gabon,241.7
Gambia,299.6
Georgia,428.7
Germany,142.7
Ghana,340.6
Greece,175.9
Guatemala,122.9
Guinea,313.4
Guinea-Bissau,370.5
Guyana,544.8
Haiti,384.1
Honduras,200.5
Hungary,293.3
Iceland,103.3
India,306.3
Indonesia,371.0
Iran (Islamic Republic of),350.2
Iraq,420.7
Ireland,118.7
Israel,86.0
Italy,105.5
Jamaica,232.6
Japan,81.6
Jordan,326.4
Kazakhstan,635.5
Kenya,205.0
Kuwait,239.0
Kyrgyzstan,549.4
Lao People's Democratic Republic,346.2
Latvia,361.1
Lebanon,213.8
Lesotho,306.7
Liberia,248.4
Libya,320.4
Lithuania,322.5
Luxembourg,107.9
Madagascar,352.3
Malawi,336.5
Malaysia,295.8
Maldives,244.3
Mali,395.7
Malta,151.8
Mauritania,262.6
Mauritius,207.3
Mexico,148.3
Mongolia,586.7
Montenegro,366.7
Morocco,330.5
Mozambique,213.5
Myanmar,317.8
Namibia,302.9
Nepal,270.6
Netherlands,104.8
New Zealand,103.8
Nicaragua,227.8
Niger,317.7
Nigeria,266.5
Norway,111.5
Oman,244.9
Pakistan,274.2
Panama,151.3
Papua New Guinea,148.5
Paraguay,219.7
Peru,122.6
Philippines,376.9
Poland,253.4
Portugal,113.1
Qatar,157.0
Republic of Korea,92.3
Republic of Moldova,507.7
Romania,363.9
Russian Federation,531.0
Rwanda,261.7
Saudi Arabia,338.1
Senegal,198.6
Serbia,360.0
Sierra Leone,436.0
Singapore,107.7
Slovakia,305.9
Slovenia,141.2
Solomon Islands,256.7
Somalia,213.4
South Africa,298.3
South Sudan,249.9
Spain,96.8
Sri Lanka,271.4
Sudan,225.6
Suriname,155.9
Swaziland,295.8
Sweden,132.0
Switzerland,97.9
Syrian Arab Republic,375.6
Tajikistan,510.3
Thailand,183.8
The former Yugoslav republic of Macedonia,405.6
Timor-Leste,346.6
Togo,307.4
Trinidad and Tobago,278.6
Tunisia,308.3
Turkey,310.3
Turkmenistan,712.1
Uganda,263.8
Ukraine,536.1
United Arab Emirates,297.6
United Kingdom of Great Britain and Northern Ireland,111.8
United Republic of Tanzania,202.9
United States of America,136.0
Uruguay,147.4
Uzbekistan,577.7
Venezuela (Bolivarian Republic of),187.3
Viet Nam,192.6
Yemen,377.0
Zambia,271.7
Zimbabwe,197.1
